created_at,screen_name,text,retweet_count,followers_count,group,joy,trust,anticipation,sadness,fear,anger,surprise,disgust,positive,negative,sentiment_score
2021-11-22T07:07:29Z,elonmusk,probably around march,187,65041635,celebrities,0,0,0,0,0,0,0,0,1,0,1
2021-11-22T04:28:54Z,elonmusk,king of the who,127,65041635,celebrities,0,0,0,0,0,0,0,0,1,0,1
2021-11-22T02:03:19Z,elonmusk,the irs already has dedicated audit teams for high net worth individuals  the doubling of staff is for everyone else,7106,65041635,celebrities,0,0,0,0,0,0,0,0,1,0,1
2021-11-13T18:22:08Z,elonmusk,please dont read too much into this as mentioned publicly tesla is constrained by chip supply shortterm and cell supply longterm  not possible to produce additional vehicles in volume until both constraints are addressed,388,65041635,celebrities,0,0,0,0,0,0,0,0,2,1,0.3333333333333333
2021-10-15T16:03:03Z,selenagomez,is wwd beauty incs latest cover star we spoke to gomez about her mission and whats next for her brand,1914,65384705,celebrities,2,2,1,0,0,0,0,0,2,1,0.3333333333333333
2021-10-07T18:24:45Z,selenagomez,from our friends at get s look using the new perfect strokes universal volumizing mascara and brow harmony shape and fill duo 😍,1627,65384705,celebrities,2,3,1,0,0,0,0,0,3,0,1
2021-09-24T19:43:13Z,selenagomez,if youre looking for a feel good time then check out and i film link in bio i hope this movie brings the family together and puts a smile on your face and parents dont worry you wont have to covers your kids eyes,822,65384705,celebrities,2,2,4,1,1,0,2,0,2,1,0.3333333333333333
2020-05-10T21:29:03Z,selenagomez,today is worldlupusday where we raise awareness for this complex autoimmune disease ♥️ if youre able to make a donation to the alliance please click this link,6739,65384705,celebrities,0,1,0,1,1,1,0,1,1,1,0
2021-11-19T17:10:05Z,KimKardashian,the opals collection is now available these three new scents bring together some of my favorite notes from fruity florals to woody gourmands and i absolutely love the iridescent bottles we packaged them in shop kkwopals now on,255,70699289,celebrities,2,1,0,0,0,0,0,0,2,0,1
2021-11-19T15:33:44Z,KimKardashian,i want to thank for their incredible work to help save these girls and so many others at risk of being killed and persecuted in afghanistan its an honor to partner and unite with them in helping to bring this flight to fruition thank you for this opportunity,107,70699289,celebrities,1,2,2,0,1,0,0,0,4,1,0.6
2021-11-18T19:06:15Z,KimKardashian,im so grateful to everyone who used their voice and helped to save juliuss life today thank you to the parole board and governor stitt 🙏🏼❤️,377,70699289,celebrities,1,2,2,0,0,0,0,0,2,0,1
2021-11-18T19:06:13Z,KimKardashian,thank you so much governor stitt for commuting julius jones sentence to life without parole and stopping his execution today,1992,70699289,celebrities,0,2,2,2,2,2,0,1,0,2,-1
2021-06-11T00:18:03Z,KimKardashian,you guys are so sweets we love you for life,39,70699289,celebrities,2,0,1,0,0,0,0,0,2,0,1
2021-06-07T16:06:09Z,KimKardashian,whether youre going for a daytonight look or ontogo this is going to become apart of your everyday essentials i hope you love this collection as much as i do and i cant wait for everyone to try it camo collection launching this friday 611 at 12pm,367,70699289,celebrities,2,1,2,0,0,0,1,0,2,1,0.3333333333333333
2021-04-09T01:00:51Z,KimKardashian,the couple that goes ufo 🛸 hunting how cute are and tristan,164,70699289,celebrities,0,0,1,0,1,1,0,0,1,1,0
2021-04-08T06:08:46Z,KimKardashian,i hope everyone has a good night ✨,1300,70699289,celebrities,1,1,1,0,0,0,1,0,1,0,1
2021-03-04T17:48:50Z,KimKardashian,ride til the wheels fall off,1685,70699289,celebrities,0,0,0,1,0,0,0,0,0,1,-1
2021-03-03T20:11:26Z,KimKardashian,speed got a makeover with custom skims cozy and even the lil uzi jewel speed actually got the jewel a few months back north always knows whats up north and her bearded dragon go everywhere together its kinda cute,819,70699289,celebrities,0,0,0,0,1,0,0,0,1,0,1
2020-11-05T17:50:41Z,KimKardashian,zoom calls in quarantine be like new episode of kuwtk is on tonight at 87c on e,1573,70699289,celebrities,0,1,1,0,1,0,0,0,0,1,-1
2020-11-05T16:44:30Z,KimKardashian,there are still votes left to count local and state election officials are working hard to counteveryvote  our democracy is at work,172,70699289,celebrities,0,1,0,0,0,0,0,0,2,0,1
2020-11-05T15:19:06Z,KimKardashian,thank you for being the best example and instilling our work ethic in us and giving us so much love i love you doesnt even mean enough happy birthday ✨,480,70699289,celebrities,4,1,2,0,0,0,1,0,5,0,1
2020-10-30T00:58:47Z,KimKardashian,ace is the cutest 🥰 kuwtk,43,70699289,celebrities,0,0,0,0,0,0,0,0,1,0,1
2020-10-30T00:56:36Z,KimKardashian,my mom and mj bonding time during quarantine is so cute,63,70699289,celebrities,0,0,1,0,1,0,0,0,1,0,1
2020-10-30T00:48:42Z,KimKardashian,my mom is so cute for getting us all together on a zoom lunch during quarantine,128,70699289,celebrities,0,0,0,0,1,0,0,0,1,0,1
2020-10-21T21:00:10Z,KimKardashian,the best birthday present today the united states library of congress announced it will now use the subject headingarmenian genocide,2926,70699289,celebrities,1,2,1,0,0,0,1,1,3,1,0.5
2020-07-16T22:32:15Z,KimKardashian,spice girls,8431,70699289,celebrities,0,0,0,0,0,0,0,0,1,0,1
2020-07-16T21:48:45Z,KimKardashian,17 million americans with past convictions can vote right now many might not know it because of confusing state laws  were working with to ensure eligible returning citizens know their rights join us →,326,70699289,celebrities,1,1,1,1,0,1,1,0,3,1,0.5
2020-05-08T22:09:10Z,KimKardashian,i was so excited when i found the wedding photographer who shot her and my dads wedding back in 1978 i purchased the camera he used on their wedding day and the photos and made an album for her she never had those photos so to see them brought out so many happy tears,427,70699289,celebrities,3,3,2,1,1,1,2,0,3,1,0.5
2020-04-06T03:35:45Z,KimKardashian,thank you for continuously uplifting the voices impacted by our criminal justice system together we have seen thousands return home to their communities were grateful that youre using your platform for change kkwthejusticeproject,47,70699289,celebrities,0,2,0,0,2,1,0,1,2,1,0.3333333333333333
2020-04-04T17:57:30Z,KimKardashian,its time to make a change join us in the fight to end americas mass incarceration problem my new documentary kkwthejusticeproject premieres this sunday at 76c on,379,70699289,celebrities,0,0,1,1,3,2,0,1,1,2,-0.3333333333333333
2020-04-03T01:02:20Z,KimKardashian,next episode we finally move on from the drama and its so funny to read my grandma trying to set up kuwtk,105,70699289,celebrities,1,1,1,0,0,0,1,1,1,0,1
2020-04-03T00:07:55Z,KimKardashian,i love that goes straight for the cleaning products get that contour off the walls haha kuwtk,597,70699289,celebrities,1,0,0,0,0,0,0,0,3,0,1
2020-04-02T16:13:43Z,KimKardashian,dont forget to watch a brand new episode of kuwtk tonight at 87c on e,443,70699289,celebrities,0,0,1,0,1,0,0,0,0,1,-1
2021-11-12T00:43:12Z,TheEllenShow,wnba champion is a leader on and off the basketball court,426,77732155,celebrities,2,2,3,0,1,1,0,0,3,0,1
2021-11-03T00:47:52Z,TheEllenShow,did you know that you can work for companies like nissan as a certified odor smeller please meet tori keerl,54,77732155,celebrities,0,0,0,0,0,0,0,0,0,1,-1
2021-11-01T22:57:20Z,TheEllenShow,the day after was rejected by snl she got a call from,69,77732155,celebrities,0,0,0,0,0,0,0,0,0,1,-1
2021-10-29T22:59:46Z,TheEllenShow,you asked and we delivered andys final haunted house is here,461,77732155,celebrities,0,0,0,1,1,0,0,0,0,1,-1
2021-10-27T20:33:06Z,TheEllenShow,michaels search for love has been documented on loveonthespectrum and in the process weve all fallen in love with him,59,77732155,celebrities,2,0,0,0,0,0,0,0,2,0,1
2021-10-26T22:58:23Z,TheEllenShow,happy birthday hope its a hot one,96,77732155,celebrities,3,2,3,0,0,1,2,0,3,0,1
2021-10-20T21:09:28Z,TheEllenShow,gwyneth paltrow survived on a deserted island for three days no really,76,77732155,celebrities,0,0,0,1,1,1,0,1,0,1,-1
2021-10-20T19:56:10Z,TheEllenShow,my writer rick is very excited about the work zenwtr is doing to restore our oceans also he goes by tree now,48,77732155,celebrities,2,2,2,0,0,1,2,1,3,0,1
