date,politician,medical,celebrity
2020-03-13,-0.4666666666666667,-0.33333333333333337,NA
2020-03-14,NA,0.875,NA
2020-03-15,0,NA,NA
2020-03-16,0.29166666666666663,0.36281179138321995,NA
2020-03-17,0.20454545454545453,0.6666666666666666,1
2020-03-18,-0.010416666666666671,0.75,NA
2020-03-19,0.8333333333333334,0.7733333333333333,0
2020-03-20,0.13333333333333333,0.10535714285714286,NA
2020-03-21,NA,0.5333333333333333,NA
2020-03-22,1,0.07407407407407407,NA
2020-03-23,1,0.13333333333333333,NA
2020-03-24,NA,-0.23333333333333334,NA
2020-03-25,NA,0.5833333333333334,NA
2020-03-26,-1,0.5888888888888889,NA
2020-03-27,0.2,0.3333333333333333,NA
2020-03-28,1,1,NA
2020-03-29,1,0.04166666666666667,NA
2020-03-30,1,0.6888888888888889,-1
2020-03-31,0.4666666666666667,0.2777777777777778,NA
2020-04-01,-0.2,-0.45,NA
2020-04-02,-0.33333333333333337,0.22,-1
2020-04-03,-0.16666666666666666,0.30666666666666664,1
2020-04-04,NA,0.16666666666666666,-0.3333333333333333
2020-04-05,NA,0.14444444444444443,1
2020-04-06,-1,-0.3125,0.3333333333333333
2020-04-07,0.6,0.44857142857142857,1
2020-04-08,0.5833333333333334,0.5333333333333333,-1
2020-04-09,-0.1,-0.06904761904761905,NA
2020-04-10,NA,-0.1388888888888889,0
2020-04-11,0.25,0.6,NA
2020-04-12,1,0.3817460317460317,NA
2020-04-13,0.33333333333333337,0.2619047619047619,NA
2020-04-14,NA,0.3833333333333333,NA
2020-04-15,-1,0.3416666666666667,0.3333333333333333
2020-04-16,1,0.875,NA
2020-04-17,0.7,0.75,NA
2020-04-18,0.6666666666666666,0.5277777777777778,NA
2020-04-19,NA,0.3333333333333333,NA
2020-04-20,0.5,0.6666666666666666,NA
2020-04-21,-1,0.37,NA
2020-04-22,-0.16666666666666666,0.4537037037037037,NA
2020-04-23,1,0.4166666666666667,NA
2020-04-24,1,1,NA
2020-04-25,-0.15,0.5,0.2
2020-04-26,0.3,0.5833333333333334,NA
2020-04-27,0.6666666666666666,1,NA
2020-04-28,NA,0.7,NA
2020-04-29,-1,0.4523809523809524,NA
